App,Provider,BuildTime_Seconds,ImageSize_MB,Grype_High,Grype_Critical
java,chainguard,4,301.49,0,0
nodejs,ubi,119,572.41,833,11
java,minimus,6,370.31,0,0
java,dhi,94,199.81,0,0
java,alpine,5,317.98,28,0
go,chainguard,196,9.66,0,0
java,ubi,3,389.68,37,5
springboot,chainguard,5,319.58,39,7
springboot,minimus,3,388.41,39,7
springboot,dhi,4,217.91,39,7
springboot,alpine,3,336.08,67,7
go,alpine,114,14.37,12,3
springboot,ubi,3,407.78,76,12
nodejs,chainguard,4,155.59,0,0
nodejs,dhi,297,497.61,50,4
nodejs,alpine,14,128.17,9,0
go,ubi,492,108.40,14,0
nodejs,ubi,5,572.41,833,11
go,chainguard,7,9.66,0,0
go,alpine,4,14.37,12,3
go,ubi,4,108.40,14,0
python,dhi,58,241.60,14,4
python,dhi,6,241.60,14,4
python,alpine,32,67.38,0,1
python,alpine,15,67.38,0,1
python,ubi,58,1034.68,743,15
python,ubi,58,1034.68,743,15
