App,Provider,BuildTime_Seconds,ImageSize_MB,Trivy_High,Trivy_Critical,Grype_High,Grype_Critical,OSV_Vulns
java,chainguard,4,301.49,0,0,0,0,0
nodejs,ubi,119,572.41,0,0,833,11,0
java,minimus,6,370.31,0,0,0,0,0
java,dhi,94,199.81,0,0,0,0,0
java,alpine,5,317.98,0,0,28,0,0
go,chainguard,196,9.66,0,0,0,0,0
go,minimus,FAILED,0,0,0,0,0,0
java,ubi,3,389.68,0,0,37,5,0
springboot,chainguard,5,319.58,0,0,39,7,0
springboot,minimus,3,388.41,0,0,39,7,0
go,dhi,FAILED,0,0,0,0,0,0
springboot,dhi,4,217.91,0,0,39,7,0
springboot,alpine,3,336.08,0,0,67,7,0
go,alpine,114,14.37,0,0,12,3,0
springboot,ubi,3,407.78,0,0,76,12,0
nodejs,chainguard,4,155.59,0,0,0,0,0
nodejs,minimus,FAILED,0,0,0,0,0,0
nodejs,dhi,297,497.61,0,0,50,4,0
nodejs,alpine,14,128.17,0,0,9,0,0
go,ubi,492,108.40,0,0,14,0,0
python,chainguard,FAILED,0,0,0,0,0,0
python,minimus,FAILED,0,0,0,0,0,0
nodejs,ubi,5,572.41,0,0,833,11,0
go,chainguard,7,9.66,0,0,0,0,0
go,minimus,FAILED,0,0,0,0,0,0
go,dhi,FAILED,0,0,0,0,0,0
go,alpine,4,14.37,0,0,12,3,0
go,ubi,4,108.40,0,0,14,0,0
python,chainguard,FAILED,0,0,0,0,0,0
python,minimus,FAILED,0,0,0,0,0,0
python,dhi,58,241.60,0,0,14,4,0
python,dhi,6,241.60,0,0,14,4,0
python,alpine,32,67.38,0,0,0,1,0
python,alpine,15,67.38,0,0,0,1,0
python,ubi,58,1034.68,0,0,743,15,0
python,ubi,58,1034.68,0,0,743,15,0
