App,Provider,ImageName,SBOM_Packages,LibC_Type,Has_Shell,Has_PkgMgr,Size_MB
java,chainguard,java-chainguard:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
java,minimus,java-minimus:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
java,dhi,java-dhi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
java,alpine,java-alpine:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
java,ubi,java-ubi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
springboot,chainguard,springboot-chainguard:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
springboot,minimus,springboot-minimus:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
springboot,dhi,springboot-dhi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
springboot,alpine,springboot-alpine:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
springboot,ubi,springboot-ubi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
nodejs,chainguard,nodejs-chainguard:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
nodejs,minimus,nodejs-minimus:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
nodejs,dhi,nodejs-dhi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
nodejs,alpine,nodejs-alpine:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
nodejs,ubi,nodejs-ubi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
go,chainguard,go-chainguard:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
go,minimus,go-minimus:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
go,dhi,go-dhi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
go,alpine,go-alpine:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
go,ubi,go-ubi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
python,chainguard,python-chainguard:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
python,minimus,python-minimus:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
python,dhi,python-dhi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
python,alpine,python-alpine:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
python,ubi,python-ubi:latest,IMAGE_NOT_FOUND,unknown,unknown,unknown,0
